Index,Sales
0,0.0
1,3481.0
2,5915.0
3,4093.0
4,7251.0
5,0.0
6,7263.0
7,0.0
8,9818.0
9,9168.0
10,4855.0
11,6212.0
12,5607.0
13,8654.0
14,7564.0
15,6284.0
16,4881.0
17,9668.0
18,4782.0
19,2395.0
20,6535.0
21,4371.0
22,0.0
23,6748.0
24,8888.0
25,5936.0
26,5126.0
27,5844.0
28,7073.0
29,0.0
30,5726.0
31,4075.0
32,4228.0
33,0.0
34,5617.0
35,4011.0
36,4725.0
37,7838.0
38,6710.0
39,4160.0
40,8397.0
41,8605.0
42,3489.0
43,6395.0
44,7300.0
45,3834.0
46,8538.0
47,0.0
48,0.0
49,5065.0
50,19156.0
51,6166.0
52,0.0
53,9161.0
54,8673.0
55,0.0
56,8289.0
57,3972.0
58,10263.0
59,4894.0
60,4084.0
61,0.0
62,0.0
63,0.0
64,5334.0
65,2027.0
66,7379.0
67,4778.0
68,0.0
69,0.0
70,5971.0
71,4034.0
72,10365.0
73,3813.0
74,5323.0
75,0.0
76,5147.0
77,0.0
78,6684.0
79,6954.0
80,0.0
81,6415.0
82,7171.0
83,22038.0
84,3132.0
85,4450.0
86,11695.0
87,0.0
88,7888.0
89,0.0
90,9403.0
91,6975.0
92,2618.0
93,4082.0
94,9337.0
95,5232.0
96,5796.0
97,11595.0
98,13578.0
99,6068.0
100,7034.0
101,4965.0
102,12713.0
103,0.0
104,7059.0
105,6064.0
106,4661.0
107,5467.0
108,13646.0
109,5721.0
110,9327.0
111,15105.0
112,7166.0
113,12980.0
114,6374.0
115,7444.0
116,6305.0
117,6240.0
118,4051.0
119,7701.0
120,8403.0
121,6213.0
122,4855.0
123,3993.0
124,2994.0
125,5776.0
126,0.0
127,3806.0
128,7160.0
129,0.0
130,0.0
131,3805.0
132,4337.0
133,7700.0
134,10269.0
135,0.0
136,4860.0
137,2426.0
138,0.0
139,5574.0
140,6444.0
141,8238.0
142,7044.0
143,9231.0
144,7222.0
145,5115.0
146,4267.0
147,0.0
148,4627.0
149,3097.0
150,0.0
151,8975.0
152,6054.0
153,0.0
154,11863.0
155,8224.0
156,4722.0
157,5710.0
158,8897.0
159,4388.0
160,10155.0
161,0.0
162,4594.0
163,5180.0
164,7749.0
165,9075.0
166,0.0
167,2518.0
168,7343.0
169,4336.0
170,4891.0
171,0.0
172,7356.0
173,5390.0
174,0.0
175,3874.0
176,13857.0
177,0.0
178,8190.0
179,7133.0
180,5753.0
181,4793.0
182,0.0
183,6675.0
184,10297.0
185,5532.0
186,16123.0
187,5476.0
188,7397.0
189,1786.0
190,11694.0
191,0.0
192,837.0
193,4079.0
194,0.0
195,0.0
196,4828.0
197,2969.0
198,5816.0
199,0.0
200,18864.0
201,4235.0
202,10276.0
203,7677.0
204,7412.0
205,4620.0
206,9034.0
207,8561.0
208,8492.0
209,7271.0
210,7448.0
211,1946.0
212,6867.0
213,0.0
214,14890.0
215,9277.0
216,6474.0
217,0.0
218,9740.0
219,7850.0
220,5873.0
221,0.0
222,4772.0
223,8450.0
224,5711.0
225,9782.0
226,2398.0
227,5453.0
228,7590.0
229,6998.0
230,4173.0
231,6034.0
232,6483.0
233,8486.0
234,11157.0
235,3757.0
236,6033.0
237,9388.0
238,6241.0
239,6627.0
240,5664.0
241,3911.0
242,5050.0
243,20082.0
244,3821.0
245,4282.0
246,18408.0
247,8286.0
248,6247.0
249,2629.0
250,13425.0
251,5033.0
252,4537.0
253,7947.0
254,13112.0
255,3198.0
256,7414.0
257,2177.0
258,9509.0
259,12893.0
260,6398.0
261,7126.0
262,9141.0
263,0.0
264,4642.0
265,12945.0
266,0.0
267,0.0
268,4251.0
269,9799.0
270,8033.0
271,20703.0
272,4527.0
273,13234.0
274,14589.0
275,3217.0
276,3410.0
277,2253.0
278,5522.0
279,0.0
280,6416.0
281,6530.0
282,2702.0
283,4371.0
284,6697.0
285,6691.0
286,7966.0
287,8318.0
288,4862.0
289,3610.0
290,7679.0
291,5369.0
292,2593.0
293,5368.0
294,4635.0
295,0.0
296,8381.0
297,0.0
298,6728.0
299,7673.0
300,8494.0
301,8653.0
302,9001.0
303,6816.0
304,5473.0
305,5673.0
306,4910.0
307,9392.0
308,5997.0
309,4354.0
310,0.0
311,4714.0
312,4427.0
313,7069.0
314,2196.0
315,5459.0
316,11637.0
317,1967.0
318,6520.0
319,0.0
320,7303.0
321,0.0
322,6987.0
323,4196.0
324,6018.0
325,7002.0
326,0.0
327,7703.0
328,3984.0
329,3980.0
330,4856.0
331,0.0
332,1675.0
333,4542.0
334,8423.0
335,4827.0
336,6448.0
337,8451.0
338,5282.0
339,6716.0
340,5586.0
341,6176.0
342,4208.0
343,4062.0
344,2979.0
345,6993.0
346,0.0
347,5600.0
348,7960.0
349,0.0
350,8382.0
351,0.0
352,6014.0
353,0.0
354,4708.0
355,4804.0
356,3765.0
357,5172.0
358,7501.0
359,13434.0
360,5151.0
361,4202.0
362,3785.0
363,0.0
364,6891.0
365,0.0
366,0.0
367,7266.0
368,6090.0
369,7331.0
370,968.0
371,7291.0
372,7214.0
373,5884.0
374,7264.0
375,14560.0
376,5799.0
377,7600.0
378,13410.0
379,22424.0
380,7795.0
381,4601.0
382,1588.0
383,0.0
384,5818.0
385,6831.0
386,2247.0
387,3366.0
388,3629.0
389,6671.0
390,3788.0
391,6899.0
392,3993.0
393,6631.0
394,5462.0
395,4614.0
396,7709.0
397,0.0
398,7351.0
399,0.0
400,2483.0
401,7724.0
402,5498.0
403,6181.0
404,3969.0
405,5778.0
406,12324.0
407,2276.0
408,11297.0
409,0.0
410,9388.0
411,3606.0
412,9040.0
413,5060.0
414,2292.0
415,4197.0
416,8506.0
417,3454.0
418,4763.0
419,6671.0
420,8727.0
421,4178.0
422,10421.0
423,11919.0
424,10322.0
425,0.0
426,7781.0
427,5537.0
428,0.0
429,6617.0
430,8685.0
431,0.0
432,10062.0
433,6286.0
434,4725.0
435,5625.0
436,10404.0
437,10292.0
438,7546.0
439,4278.0
440,3632.0
441,10842.0
442,5741.0
443,11190.0
444,5530.0
445,0.0
446,8635.0
447,7323.0
448,5188.0
449,6804.0
450,4187.0
451,3000.0
452,5223.0
453,0.0
454,5295.0
455,19886.0
456,3252.0
457,2745.0
458,5280.0
459,5273.0
460,9770.0
461,7363.0
462,4216.0
463,7306.0
464,3434.0
465,16115.0
466,0.0
467,3917.0
468,13770.0
469,4252.0
470,1522.0
471,7713.0
472,0.0
473,2224.0
474,17244.0
475,0.0
476,0.0
477,5416.0
478,5892.0
479,6831.0
480,0.0
481,0.0
482,8383.0
483,7800.0
484,0.0
485,6488.0
486,5726.0
487,2434.0
488,5997.0
489,8655.0
490,0.0
491,9507.0
492,5459.0
493,6951.0
494,0.0
495,4890.0
496,4533.0
497,4557.0
498,2877.0
499,5118.0
500,9043.0
501,5619.0
502,7961.0
503,6291.0
504,5479.0
505,6564.0
506,0.0
507,7351.0
508,5850.0
509,4390.0
510,0.0
511,6141.0
512,2618.0
513,0.0
514,4370.0
515,5816.0
516,6803.0
517,0.0
518,10983.0
519,10386.0
520,0.0
521,5217.0
522,8990.0
523,4838.0
524,5616.0
525,6417.0
526,6140.0
527,4401.0
528,3664.0
529,6579.0
530,5411.0
531,0.0
532,3524.0
533,4865.0
534,14953.0
535,5324.0
536,6305.0
537,4720.0
538,0.0
539,4473.0
540,9820.0
541,8778.0
542,2450.0
543,4272.0
544,5035.0
545,904.0
546,2791.0
547,9249.0
548,8266.0
549,9460.0
550,8897.0
551,5775.0
552,10248.0
553,3627.0
554,1470.0
555,6970.0
556,5918.0
557,8086.0
558,7370.0
559,2894.0
560,3377.0
561,5332.0
562,4142.0
563,7145.0
564,8673.0
565,5175.0
566,9629.0
567,4091.0
568,9944.0
569,9350.0
570,8287.0
571,7522.0
572,0.0
573,2713.0
574,5210.0
575,2583.0
576,6903.0
577,6229.0
578,7374.0
579,3860.0
580,6232.0
581,0.0
582,0.0
583,4913.0
584,6967.0
585,5838.0
586,4250.0
587,6868.0
588,9606.0
589,6564.0
590,13083.0
591,6919.0
592,7076.0
